Part_id	Sc_id	abspathanglesrate	blinkdurationmax	blinkdurationmean	blinkdurationmin	blinkdurationstd	blinkdurationtotal	blinknum	blinkrate	blinktimedistancemax	blinktimedistancemean	blinktimedistancemin	blinktimedistancestd	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	largest_data_gap	length	length_invalid	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numfixations	numsaccades	numsamples	numsegments	proportion_valid	proportion_valid_fix	relpathanglesrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration	Title_numfixations	Title_longestfixation	Title_meanfixationduration	Title_stddevfixationduration	Title_timetofirstfixation	Title_timetolastfixation	Title_proportionnum	Title_proportiontime	Title_fixationrate	Title_totaltimespent	Title_meanpupilsize	Title_stddevpupilsize	Title_maxpupilsize	Title_minpupilsize	Title_startpupilsize	Title_endpupilsize	Title_meanpupilvelocity	Title_stddevpupilvelocity	Title_maxpupilvelocity	Title_minpupilvelocity	Title_meandistance	Title_stddevdistance	Title_maxdistance	Title_mindistance	Title_startdistance	Title_enddistance	Title_proptransfrom_Title	Title_proptransfrom_Content	Content_numfixations	Content_longestfixation	Content_meanfixationduration	Content_stddevfixationduration	Content_timetofirstfixation	Content_timetolastfixation	Content_proportionnum	Content_proportiontime	Content_fixationrate	Content_totaltimespent	Content_meanpupilsize	Content_stddevpupilsize	Content_maxpupilsize	Content_minpupilsize	Content_startpupilsize	Content_endpupilsize	Content_meanpupilvelocity	Content_stddevpupilvelocity	Content_maxpupilvelocity	Content_minpupilvelocity	Content_meandistance	Content_stddevdistance	Content_maxdistance	Content_mindistance	Content_startdistance	Content_enddistance	Content_proptransfrom_Title	Content_proptransfrom_Content
1	1_allsc	4.7433234977807865e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	712.5	3.503	0.0009208177981995366	3.3492658971438975e-06	0.008952264466498978	682852	84740240	2931268	880.5551652651349	99929.0	741.25	4.221	8.03410592049958e-05	0.014527142872010016	1.4982487228451367	705.3959204384007	230.37226277372264	290.853889845589	3.618218185508423	1.3222985603781313e-06	1.449085482938066	249.5086312609323	48149.80128205128	0.004966539550558311	687.35	2.084	0.0	0.00105133684160817	274	156	5103	15	0.9655104840290025	0.9655104840290025	4.321981430556151e-06	702.25	3.7190000000000003	1.1284583273976654	11.96712142196507	174.11134946266688	237.71567786134003	0.22281449280405455	3.607623522389931e-06	1.0263030198912935	179.7653022030774	16337.52153131138	0.0029850072340029724	388.0464192168904	63122.0	75331.15747000754	353.5768578368881	38923.34647670544	7511369.0	18	516	254.44444444444446	105.73508640338846	-1	352168240	0.06569343065693431	5.40475221689247e-05	0.003930131004366812	4580	3.4726605960264902	0.20773373707364082	3.9875	-1	-1	3.4385000000000003	9.168904780193743e-07	5.134914178615066e-06	7.649354548183729e-05	-1	706.3061258278145	9.692991811434736	723.4	-1	-1	708.45	0.6	0.4	201	2265	239.6915422885572	182.91980313271017	133240	353767108	0.7335766423357665	0.0005685374504485708	0.004172028726804766	48178	3.6197369655172404	0.21866687348137168	4.221	2.3245	3.7190000000000003	3.503	1.1065287290258227e-06	2.778585982064276e-06	7.127416836795964e-05	0.0	703.9787448275863	11.105652059561347	739.2	687.35	702.25	712.5	0.03614457831325301	0.963855421686747
1	seg1	3.6220713140385124e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	702.55	3.857	0.0010351406108890355	3.354321321844112e-06	0.007835510976053157	0	2981229	0	436.3116807154108	66620.0	706.35	3.9745	9.666766736715702e-06	0.007652266060892503	1.1998026712755245	703.2727777777781	234.9	342.8879120289009	3.6314722222222238	1.017720081102905e-06	0.981734326175278	262.78970982181016	49964.833333333336	0.0051279411685281415	700.95	3.4555	0.0	0.0028441415535332237	10	6	180	1	1.0	1.0	2.6344419061407975e-06	702.25	3.7190000000000003	1.208079952542758	1.1697815560560412	143.0869587970119	282.44024103784915	0.09072771779978289	1.5491241522087691e-06	0.8513028157761634	140.22514211719903	14896.684871697682	0.002011341225889554	10.79822404147972	2349.0	3085.991208260108	7.853874609402224	1576.7382589308609	299789.0	0	-1	-1	0	-1	-1	0	0.0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5	550	326.6	144.16067424925564	133240	2548202	0.5	0.0005477606718571435	0.003061849357011635	1633	3.6405702479338844	0.08497475864889534	3.9065000000000003	3.4555	3.7190000000000003	3.7824999999999998	7.924609244519238e-07	1.2928650696132383e-06	7.7154007805464e-06	0.0	703.1561983471074	1.1558469161891267	706.35	700.95	702.25	701.5999999999999	0.0	1.0
1	seg2	4.45901824657552e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	706.9000000000001	3.9485	0.000981383532119084	3.68975221636707e-06	0.005314754811126409	0	2981230	0	497.84072214143384	66620.0	708.15	4.0935	6.6946862803963e-06	0.01353140506557702	1.3293358967238338	703.0363888888886	233.36363636363637	292.5730027459377	3.938500000000001	6.274411709749456e-07	1.8793536913141666	312.78084792597735	48299.5	0.007122459837799041	700.3	3.7935	0.0	0.0022779030673518597	11	10	180	1	1.0	1.0	5.6735586391615205e-06	701.5999999999999	4.0885	1.3389547542630533	1.676595634178451	153.51108932404375	136.3343034367503	0.0631033115847409	8.897771945670179e-07	1.0485524443364849	148.59036682097994	16562.102042179173	0.0042007774061219175	13.293358967238337	2567.0	2925.7300274593767	16.9141832218275	3127.808479259774	482995.0	0	-1	-1	0	-1	-1	0	0.0	0	0	3.9875	nan	3.9875	3.9875	3.9875	3.9875	6.905247988471144e-07	nan	6.905247988471144e-07	6.905247988471144e-07	701.35	nan	701.35	701.35	701.35	701.35	0	0	10	550	245.0	156.61772285125048	99930	2614822	0.9090909090909091	0.0008218084481908474	0.004081632653061225	2450	3.937649122807018	0.0645346212312531	4.0935	3.7935	4.0885	3.9485	6.283363110731387e-07	9.072799268414975e-07	6.6946862803963e-06	0.0	702.8418128654969	1.413544851473638	706.9000000000001	700.3	701.5999999999999	706.9000000000001	0.0	1.0
1	seg3	4.363089075751968e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	695.45	4.122	0.0010188049972405624	3.2396883419815016e-06	0.011331340814175351	116584	4979828	349753	739.7370500420734	66620.0	703.8	4.2135	8.03410592049958e-05	0.011103828430532474	1.4429592608865924	698.7064516129036	226.46666666666667	336.93882482847124	3.869560931899642	1.998384262879906e-06	1.7618238722573925	251.85354448764005	42826.857142857145	0.004437133072071981	693.0	2.281	0.0	0.0011675488229603522	15	7	300	1	0.93	0.93	4.94672555830005e-06	700.75	3.8739999999999997	1.2170133024721426	2.5709454263442035	133.62627343595625	359.5810806742204	0.26610080488468935	7.089680101013472e-06	0.8832148375103617	326.37871317571904	16253.810901124813	0.004490695395882541	20.201429652412294	3397.0	4717.143547598597	22.9037103393461	1762.9748114134804	299788.0	0	-1	-1	0	-1	-1	0	0.0	0	0	2.281	0.0	2.281	2.281	2.281	2.281	3.824677274091864e-05	5.408910472720874e-05	7.649354548183729e-05	0.0	703.8	0.0	703.8	703.8	703.8	703.8	0	0	7	583	290.14285714285717	155.09183147566537	16656	4813278	0.4666666666666667	0.0004386538015042953	0.0034465780403741997	2031	3.8831314102564076	0.21699546681885734	4.192	3.435	3.8739999999999997	4.122	1.1462576298931224e-06	1.9156806874353644e-06	1.8133781674072296e-05	0.0	698.6769230769233	3.206794121233868	703.35	693.0	700.75	695.45	0.0	1.0
1	seg4	5.804930714748773e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	704.75	3.45	0.0008967880363800174	3.413765668682395e-06	0.010768714570787787	0	4979838	0	483.89912906665364	66620.0	714.45	4.041	1.780246172320627e-05	0.014527142872010016	1.806725910042069	707.593166666667	179.35294117647058	279.11619634441206	3.4992449999999993	1.6674750106991744e-06	1.3387629349548194	247.08269854809268	47189.166666666664	0.0054112357628551795	701.2	3.265	0.0	0.001409773594291564	17	6	300	1	1.0	1.0	4.032549658105804e-06	705.25	3.49	0.9752257104468969	2.7890603850868962	78.12005278453685	182.230327335425	0.10690164802049745	2.3826894415868873e-06	0.8204220739095714	173.03538355167072	16374.86068846592	0.004765240639751395	28.907614560673103	3049.0	4465.859141510593	20.08144402432229	1482.496191288556	283135.0	0	-1	-1	0	-1	-1	0	0.0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	11	366	204.45454545454547	75.37687130196323	466342	4879908	0.6470588235294118	0.00045162111699215916	0.004891062694530902	2249	3.4545519125683053	0.07926500470949786	4.041	3.265	3.49	3.45	1.0461498792131461e-06	1.9556173057893195e-06	1.780246172320627e-05	0.0	706.049726775956	2.0991789163243415	710.8	701.2	705.25	704.75	0.0	1.0
1	seg5	4.9126663085073335e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	701.0999999999999	3.579	0.0009464229664452525	3.94742446135835e-06	0.0059734581396064905	99930	4979815	166550	747.0342260487674	83274.0	705.9	4.162	2.356791161282575e-05	0.01121336274465277	1.313664711078753	700.4362068965522	204.21052631578948	253.07691886595046	3.622287931034483	1.4334135160850019e-06	0.7716725607698217	230.61581447276595	46395.71428571428	0.004467106098827635	696.3	3.237	0.0	0.0020184051234253984	19	14	300	1	0.9666666666666667	0.9666666666666667	2.725475022274271e-06	703.95	4.03	1.3856144217078354	1.8651742106137006	95.35464735360215	197.4758833334738	0.2045678389163067	2.5546449526346107e-06	1.0713915881087368	212.67679781480447	17502.845467253304	0.002927411364310346	23.645964799417552	3880.0	4555.3845395871085	13.11843353308697	3228.621402618723	649540.0	0	-1	-1	0	-1	-1	0	0.0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	16	416	213.3125	100.02580916943387	66620	4896540	0.8421052631578947	0.0007090820887692658	0.004687957808379725	3413	3.6315549019607842	0.21215746112849862	4.162	3.237	4.03	3.579	1.5158986511433218e-06	2.693277508757472e-06	2.356791161282575e-05	0.0	700.5954901960788	1.8486080246608583	705.9	696.3	703.95	701.0999999999999	0.0	1.0
1	seg6	6.062533067996499e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	700.0	3.6345	0.0008185370375807329	4.051953409902974e-06	0.007873479942039659	166548	2981216	266476	414.5241507486467	66620.0	703.7	3.9524999999999997	1.987391173821672e-05	0.008844363962116625	1.6458201021012815	698.8966463414628	178.8181818181818	222.2115237401919	3.6693780487804886	1.4947622922486102e-06	1.2697780640411773	213.47461255574717	41637.666666666664	0.004837301960125449	696.05	3.2705	0.0	0.001750542486027414	11	6	180	1	0.9111111111111111	0.9111111111111111	4.209612182518619e-06	698.0	3.767	1.1588441444272792	2.146398975324697	98.78645472109845	147.66004017134213	0.07950840372975707	3.1384960008294972e-06	1.1748000028888788	149.6946330365542	13934.453238884784	0.0028095461027637983	16.458201021012815	1967.0	2222.115237401919	11.428002576370595	1280.847675334483	249826.0	0	-1	-1	0	-1	-1	0	0.0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	11	400	178.8181818181818	98.78645472109845	333098	2914596	1.0	0.0007245629415708318	0.005592272496187087	1967	3.665981012658228	0.079021038198374	3.9524999999999997	3.2705	3.7145	3.6345	1.533008539673442e-06	3.1917258850794623e-06	1.987391173821672e-05	0.0	698.9534810126577	2.1620283962662055	703.7	696.05	698.1	700.0	0.0	1.0
1	seg7	4.720268237575106e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	697.95	3.537	0.0008094136846387789	3.4461482996903106e-06	0.006962641226856808	116585	7977684	433029	672.2442808127922	66620.0	701.2	4.053	3.839687781447015e-05	0.011582032368360005	1.4245118143984885	698.332158590309	236.3846153846154	244.26988011513546	3.606911894273125	1.43167179100688e-06	1.4160375504779905	268.53105275625643	49039.5	0.005457813610390741	695.6	2.3245	0.0	0.0024160995363619337	26	18	480	1	0.9458333333333333	0.9458333333333333	4.504500366348332e-06	697.05	3.7325	1.223525062957597	0.994150090806047	117.7540069545243	158.27713586636486	0.22334569160778364	3.901265291675357e-06	1.0876715799194112	158.14783932827578	15615.573234472582	0.002599802648885715	35.61279535996221	6146.0	6106.747002878386	33.98490121147177	4833.558949612616	882711.0	0	-1	-1	0	-1	-1	0	0.0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	25	516	233.2	119.03395874007272	83273	7761172	0.9615384615384616	0.0007727324841228658	0.004288164665523156	5830	3.593415313225057	0.21880628662651658	4.053	2.3245	3.7325	3.537	1.4292645936718665e-06	3.895782010212328e-06	3.839687781447015e-05	0.0	698.2798143851512	0.9869077678340529	701.2	695.6	697.05	697.95	0.0	1.0
1	seg8	4.21851269369427e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	697.25	3.5599999999999996	0.0007277643893187969	3.0021134878954785e-06	0.008289361221188554	0	2997888	0	413.6130207883291	66621.0	697.5999999999999	3.7065	1.1138465233577532e-05	0.006208541290728446	1.580828572784216	695.9066298342541	260.77777777777777	272.7195161957687	3.4929861878453052	1.0384703457238763e-06	1.2392588638224018	231.23061002042814	56626.8	0.0037593159835476765	692.8	3.3355	0.0	0.0016832912740904883	9	5	181	1	1.0	1.0	2.8936411389474234e-06	697.5	3.4775	1.2745712014993984	0.9884810013317752	119.74533161858314	118.90483823363412	0.06831583985307645	1.720507572868789e-06	1.4516957299629532	144.94687254883112	14897.076196354772	0.0018136553210906757	12.646628582273728	2347.0	2181.7561295661494	8.674812046756813	1156.1530501021407	283134.0	0	-1	-1	0	-1	-1	0	0.0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	8	333	228.875	76.9330645988539	416373	2847994	0.8888888888888888	0.000610763310704069	0.004369197160021846	1831	3.4887034482758628	0.06871169378662427	3.604	3.3355	3.4775	3.5599999999999996	8.40384181040444e-07	1.2413521996701407e-06	7.68584123934188e-06	0.0	695.853103448276	1.0404195983414726	697.5999999999999	692.8	697.5	697.25	0.0	1.0
1	seg9	4.632621758012011e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	729.9	3.8205	0.0008385217678293685	3.0825363859914536e-06	0.00835491109960297	99929	7977690	516302	805.5107184189125	66620.0	741.25	4.221	7.127416836795964e-05	0.012091124563478122	1.5711721997168056	717.1684855233855	242.0	284.38801164640165	3.6488151447661497	1.7586852673649687e-06	1.3514201882812205	284.42830668402553	51245.769230769234	0.005068676008099983	692.9	2.379	0.0	0.0016617881081295188	23	13	480	1	0.9354166666666667	0.9354166666666667	3.8035582593889543e-06	696.25	3.3165	0.8426965458116376	18.06537678340092	133.32905296159709	204.81618870863267	0.25123039039065004	5.115872279534793e-06	0.9447840672733654	219.53722562180153	15890.303889237226	0.0027907532242472965	34.56578839376972	5566.0	6256.536256220837	28.379823953905632	3697.567986892332	666195.0	0	-1	-1	0	-1	-1	0	0.0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	19	683	259.57894736842104	136.85690653195797	216514	7711212	0.8260869565217391	0.0006610030198134717	0.0038523925385239256	4932	3.622188144329899	0.237559426893795	4.221	2.419	3.3165	3.8205	1.738089562847587e-06	5.347717272355459e-06	7.127416836795964e-05	0.0	713.9757731958771	17.301982475769577	739.2	692.9	696.25	729.9	0.0	1.0
